AL, 09, 1969081418, 00, CARQ,   0, 194N,  820W,  50,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081418, 01, OFCL,  12, 216N,  837W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081418, 01, OFCL,  24, 232N,  849W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081418, 01, OFCL,  36, 244N,  854W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081418, 01, OFCL,  48, 258N,  855W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081418, 01, OFCL,  72, 300N,  856W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081500, 00, CARQ,   0, 197N,  827W,  55,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081500, 01, OFCL,  12, 216N,  828W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081500, 01, OFCL,  24, 235N,  830W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081500, 01, OFCL,  36, 252N,  830W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081500, 01, OFCL,  48, 270N,  830W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081500, 01, OFCL,  72, 305N,  825W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081506, 00, CARQ,   0, 201N,  833W,  60,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081506, 01, OFCL,  12, 222N,  843W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081506, 01, OFCL,  24, 240N,  850W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081506, 01, OFCL,  36, 254N,  852W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081506, 01, OFCL,  48, 270N,  850W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081506, 01, OFCL,  72, 310N,  840W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081512, 00, CARQ,   0, 207N,  838W,  85,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081512, 01, OFCL,  12, 224N,  843W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081512, 01, OFCL,  24, 243N,  846W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081512, 01, OFCL,  36, 263N,  845W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081512, 01, OFCL,  48, 284N,  843W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081512, 01, OFCL,  72, 329N,  835W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081518, 00, CARQ,   0, 212N,  841W, 100,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081518, 01, OFCL,  12, 224N,  844W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081518, 01, OFCL,  24, 240N,  848W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081518, 01, OFCL,  36, 258N,  850W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081518, 01, OFCL,  48, 278N,  848W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081518, 01, OFCL,  72, 323N,  830W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081600, 00, CARQ,   0, 223N,  844W,  90,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081600, 01, OFCL,  12, 240N,  848W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081600, 01, OFCL,  24, 260N,  850W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081600, 01, OFCL,  36, 280N,  848W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081600, 01, OFCL,  48, 300N,  844W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081600, 01, OFCL,  72, 330N,  835W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081606, 00, CARQ,   0, 231N,  852W, 105,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081606, 01, OFCL,  12, 251N,  853W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081606, 01, OFCL,  24, 270N,  860W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081606, 01, OFCL,  36, 289N,  864W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081606, 01, OFCL,  48, 310N,  860W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081606, 01, OFCL,  72, 360N,  820W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081612, 00, CARQ,   0, 237N,  859W, 120,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081612, 01, OFCL,  12, 259N,  861W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081612, 01, OFCL,  24, 282N,  860W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081612, 01, OFCL,  36, 304N,  855W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081612, 01, OFCL,  48, 326N,  848W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081618, 00, CARQ,   0, 242N,  865W, 130,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081618, 01, OFCL,  12, 260N,  872W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081618, 01, OFCL,  24, 282N,  872W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081618, 01, OFCL,  36, 305N,  864W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081618, 01, OFCL,  48, 330N,  850W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081700, 00, CARQ,   0, 252N,  872W, 140,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081700, 01, OFCL,  12, 270N,  874W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081700, 01, OFCL,  24, 289N,  872W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081700, 01, OFCL,  36, 306N,  863W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081700, 01, OFCL,  48, 323N,  849W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081706, 00, CARQ,   0, 260N,  877W, 155,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081706, 01, OFCL,  12, 282N,  881W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081706, 01, OFCL,  24, 305N,  880W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081706, 01, OFCL,  36, 327N,  867W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081706, 01, OFCL,  48, 350N,  840W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081706, 01, OFCL,  72, 399N,  750W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081712, 00, CARQ,   0, 270N,  882W, 160,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
AL, 09, 1969081712, 01, OFCL,  12, 291N,  891W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081712, 01, OFCL,  24, 312N,  891W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081712, 01, OFCL,  36, 331N,  880W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081712, 01, OFCL,  48, 350N,  860W,   0,     ,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    , UKN
AL, 09, 1969081718, 00, CARQ,   0, 283N,  887W, 165,    0,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,    ,    ,   0,   0,    CAMILLE,   
