AL, 09, 2024092118,   , BEST,   0, 136N,  827W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   L,   0,    ,   0,   0, GENESIS023,  ,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092200,   , BEST,   0, 140N,  826W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   L,   0,    ,   0,   0, GENESIS023,  ,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092206,   , BEST,   0, 144N,  826W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   L,   0,    ,   0,   0, GENESIS023,  ,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092212,   , BEST,   0, 148N,  826W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   L,   0,    ,   0,   0, GENESIS023,  ,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092218,   , BEST,   0, 152N,  826W,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180, 120,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, SPAWNINVEST, al752024 to al972024, 
AL, 09, 2024092300,   , BEST,   0, 156N,  825W,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180, 120,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092306,   , BEST,   0, 160N,  820W,  25, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  200, 120,  35,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092312,   , BEST,   0, 172N,  818W,  25, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  200, 120,  35,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, TRANSITIONED, alB72024 to al092024, 
AL, 09, 2024092318,   , BEST,   0, 179N,  819W,  30, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  200, 100,  40,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092400,   , BEST,   0, 182N,  821W,  30, 1002, DB,   0,    ,    0,    0,    0,    0, 1007,  150, 100,  40,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
AL, 09, 2024092406,   , BEST,   0, 186N,  827W,  30, 1002, DB,  34, NEQ,    0,    0,    0,    0, 1007,  150, 100,  40,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 023, 
